candidate_id,photographic_panel_id,institutional_id,institutional_label,sequence_index,source_sequence_bin,source_url,source_sha256,byte_count,width_px,height_px,stored_path,physical_parent_ids,composition_status,candidate_type,foldout_complex_ids,physical_leaf_ids,selection_strata,selection_reasons,visual_review_status,external_transliteration_consulted
PILOT-0001-CAND-001,YDC-PANEL-1006094,1006094,10r,21,1,https://collections.library.yale.edu/iiif/2/1006094/full/full/0/default.jpg,ab22d0c20cc0c4e754236a32960c650c7275ac9a51e0dd33c91060694cb6ac05,2349652,2691,3739,sha256/ab/ab22d0c20cc0c4e754236a32960c650c7275ac9a51e0dd33c91060694cb6ac05.jpg,10r,single_side_or_unspecified,,,,ordinary_sequence_bin:1,Metadata-only ordinary-page representative of source-sequence bin 1,pending,false
PILOT-0001-CAND-002,YDC-PANEL-1006096,1006096,11r,23,1,https://collections.library.yale.edu/iiif/2/1006096/full/full/0/default.jpg,9baeca75f52ec7eeb8e6f22fc44299af5f3cf05657db14a07875c862c4ecd73a,2255232,2672,3744,sha256/9b/9baeca75f52ec7eeb8e6f22fc44299af5f3cf05657db14a07875c862c4ecd73a.jpg,11r,single_side_or_unspecified,,,,ordinary_sequence_bin:1,Metadata-only ordinary-page representative of source-sequence bin 1,pending,false
PILOT-0001-CAND-003,YDC-PANEL-1006106,1006106,17r,33,2,https://collections.library.yale.edu/iiif/2/1006106/full/full/0/default.jpg,53fde2925bbb438555c1bc3e1f6a60fed73b44ef5c68eea531241e42553882f6,2245151,2649,3743,sha256/53/53fde2925bbb438555c1bc3e1f6a60fed73b44ef5c68eea531241e42553882f6.jpg,17r,single_side_or_unspecified,,,,ordinary_sequence_bin:2,Metadata-only ordinary-page representative of source-sequence bin 2,pending,false
PILOT-0001-CAND-004,YDC-PANEL-1006118,1006118,23r,45,2,https://collections.library.yale.edu/iiif/2/1006118/full/full/0/default.jpg,890e6cc9c8239fc90f760209da68f1cc6972de9d8738d33b6deaca50672ea449,2271913,2650,3705,sha256/89/890e6cc9c8239fc90f760209da68f1cc6972de9d8738d33b6deaca50672ea449.jpg,23r,single_side_or_unspecified,,,,ordinary_sequence_bin:2,Metadata-only ordinary-page representative of source-sequence bin 2,pending,false
PILOT-0001-CAND-005,YDC-PANEL-1006145,1006145,36v,72,3,https://collections.library.yale.edu/iiif/2/1006145/full/full/0/default.jpg,fd05a7ed07ae3ed44a7eaafbc1d7d98b930fe44ff76c84bef086a2abd1046226,2498755,2849,3769,sha256/fd/fd05a7ed07ae3ed44a7eaafbc1d7d98b930fe44ff76c84bef086a2abd1046226.jpg,36v,single_side_or_unspecified,,,,ordinary_sequence_bin:3,Metadata-only ordinary-page representative of source-sequence bin 3,pending,false
PILOT-0001-CAND-006,YDC-PANEL-1006149,1006149,38v,76,3,https://collections.library.yale.edu/iiif/2/1006149/full/full/0/default.jpg,89f24ad3714c4f240b5d28dc9f088b1775fd6241368fa487f2229257f6a333ef,2385887,2882,3769,sha256/89/89f24ad3714c4f240b5d28dc9f088b1775fd6241368fa487f2229257f6a333ef.jpg,38v,single_side_or_unspecified,,,,ordinary_sequence_bin:3,Metadata-only ordinary-page representative of source-sequence bin 3,pending,false
PILOT-0001-CAND-007,YDC-PANEL-1006162,1006162,45r,89,4,https://collections.library.yale.edu/iiif/2/1006162/full/full/0/default.jpg,e4dba86cacbb2fe7f5eb3ffadf989b87c92fc9aafcb20d43b7b934586e6043ca,2317232,2823,3706,sha256/e4/e4dba86cacbb2fe7f5eb3ffadf989b87c92fc9aafcb20d43b7b934586e6043ca.jpg,45r,single_side_or_unspecified,,,,ordinary_sequence_bin:4,Metadata-only ordinary-page representative of source-sequence bin 4,pending,false
PILOT-0001-CAND-008,YDC-PANEL-1006168,1006168,48r,95,4,https://collections.library.yale.edu/iiif/2/1006168/full/full/0/default.jpg,84e89d7693f63e621487c43a8bc4d71f6b4328ba2f2b57f1457820289c5e8f03,2448267,2859,3719,sha256/84/84e89d7693f63e621487c43a8bc4d71f6b4328ba2f2b57f1457820289c5e8f03.jpg,48r,single_side_or_unspecified,,,,ordinary_sequence_bin:4,Metadata-only ordinary-page representative of source-sequence bin 4,pending,false
PILOT-0001-CAND-009,YDC-PANEL-1006179,1006179,53v,106,5,https://collections.library.yale.edu/iiif/2/1006179/full/full/0/default.jpg,b06fc46a5f0019f3e7e946bc1e77e1dd4e762aba482ff3490fee5846f03b425d,2491136,2940,3769,sha256/b0/b06fc46a5f0019f3e7e946bc1e77e1dd4e762aba482ff3490fee5846f03b425d.jpg,53v,single_side_or_unspecified,,,,ordinary_sequence_bin:5,Metadata-only ordinary-page representative of source-sequence bin 5,pending,false
PILOT-0001-CAND-010,YDC-PANEL-1006184,1006184,56r,111,5,https://collections.library.yale.edu/iiif/2/1006184/full/full/0/default.jpg,663601d04544bf8aafb94ffc0482c6f42033f9be84dc9ef093f40548a31cafe3,2375075,2793,3707,sha256/66/663601d04544bf8aafb94ffc0482c6f42033f9be84dc9ef093f40548a31cafe3.jpg,56r,single_side_or_unspecified,,,,ordinary_sequence_bin:5,Metadata-only ordinary-page representative of source-sequence bin 5,pending,false
PILOT-0001-CAND-011,YDC-PANEL-1006194,1006194,67r,121,5,https://collections.library.yale.edu/iiif/2/1006194/full/full/0/default.jpg,f8b4e5c4a73b92af3d9a6e6bd5cdc7e43b3e9c5d721171aa969384198e1579e3,4023408,4972,3738,sha256/f8/f8b4e5c4a73b92af3d9a6e6bd5cdc7e43b3e9c5d721171aa969384198e1579e3.jpg,67r,single_side_or_unspecified,,MS408-Q09-FOLDOUT-COMPLEX,,foldout_complex:MS408-Q09-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q09-FOLDOUT-COMPLEX,pending,false
PILOT-0001-CAND-012,YDC-PANEL-1006200,1006200,70v (part),127,5,https://collections.library.yale.edu/iiif/2/1006200/full/full/0/default.jpg,3b6c8594dd71257a3eb341765e4459e69f0103c395fa2792de27a76c6c891bd3,3460553,3945,3772,sha256/3b/3b6c8594dd71257a3eb341765e4459e69f0103c395fa2792de27a76c6c891bd3.jpg,70v,composite_candidate,fragmented_side_asset,MS408-Q10-FOLDOUT-COMPLEX,,composite_type:fragmented_side_asset;foldout_complex:MS408-Q10-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q10-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type fragmented_side_asset,pending,false
