child_oid,sequence_index,institutional_label,relation_index,side_id,folio_number,face,coverage,parse_status,rule_id
1006076,3,1r,1,1r,1,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006077,4,1v,1,1v,1,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006078,5,2r,1,2r,2,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006079,6,2v,1,2v,2,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006080,7,3r,1,3r,3,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006081,8,3v,1,3v,3,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006082,9,4r,1,4r,4,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006083,10,4v,1,4v,4,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006084,11,5r,1,5r,5,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006085,12,5v,1,5v,5,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006086,13,6r,1,6r,6,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006087,14,6v,1,6v,6,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006088,15,7r,1,7r,7,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006089,16,7v,1,7v,7,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006090,17,8r,1,8r,8,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006091,18,8v,1,8v,8,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006092,19,9r,1,9r,9,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006093,20,9v,1,9v,9,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006094,21,10r,1,10r,10,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006095,22,10v,1,10v,10,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006096,23,11r,1,11r,11,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006097,24,11v,1,11v,11,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006098,25,13r,1,13r,13,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006099,26,13v,1,13v,13,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006100,27,14r,1,14r,14,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006101,28,14v,1,14v,14,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006102,29,15r,1,15r,15,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006103,30,15v,1,15v,15,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006104,31,16r,1,16r,16,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006105,32,16v,1,16v,16,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006106,33,17r,1,17r,17,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006107,34,17v,1,17v,17,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006108,35,18r,1,18r,18,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006109,36,18v,1,18v,18,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006110,37,19r,1,19r,19,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006111,38,19v,1,19v,19,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006112,39,20r,1,20r,20,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006113,40,20v,1,20v,20,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006114,41,21r,1,21r,21,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006115,42,21v,1,21v,21,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006116,43,22r,1,22r,22,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006117,44,22v,1,22v,22,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006118,45,23r,1,23r,23,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006119,46,23v,1,23v,23,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006120,47,24r,1,24r,24,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006121,48,24v,1,24v,24,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006122,49,25r,1,25r,25,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006123,50,25v,1,25v,25,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006124,51,26r,1,26r,26,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006125,52,26v,1,26v,26,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006126,53,27r,1,27r,27,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006127,54,27v,1,27v,27,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006128,55,28r,1,28r,28,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006129,56,28v,1,28v,28,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006130,57,29r,1,29r,29,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006131,58,29v,1,29v,29,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006132,59,30r,1,30r,30,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006133,60,30v,1,30v,30,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006134,61,31r,1,31r,31,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006135,62,31v,1,31v,31,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006136,63,32r,1,32r,32,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
