complex_id,quire_id,photographic_panel_id,institutional_id,sequence_index,institutional_label,side_ids,coverage_modes,label_candidate,relation_basis,physical_leaf_id,physical_leaf_assignment_status,geometry_status,reading_order
MS408-Q09-FOLDOUT-COMPLEX,IX,YDC-PANEL-1006194,1006194,121,67r,67r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q09-FOLDOUT-COMPLEX,IX,YDC-PANEL-1006195,1006195,122,67v,67v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q09-FOLDOUT-COMPLEX,IX,YDC-PANEL-1006196,1006196,123,68r,68r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q09-FOLDOUT-COMPLEX,IX,YDC-PANEL-1006197,1006197,124,68v,68v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q10-FOLDOUT-COMPLEX,X,YDC-PANEL-1006198,1006198,125,69r,69r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q10-FOLDOUT-COMPLEX,X,YDC-PANEL-1006199,1006199,126,69v and 70r,69v;70r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q10-FOLDOUT-COMPLEX,X,YDC-PANEL-1006200,1006200,127,70v (part),70v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q10-FOLDOUT-COMPLEX,X,YDC-PANEL-1006201,1006201,128,70v (part),70v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q11-FOLDOUT-COMPLEX,XI,YDC-PANEL-1006202,1006202,129,71r,71r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q11-FOLDOUT-COMPLEX,XI,YDC-PANEL-1006203,1006203,130,71v and 72r,71v;72r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q11-FOLDOUT-COMPLEX,XI,YDC-PANEL-1006204,1006204,131,72v (part),72v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q11-FOLDOUT-COMPLEX,XI,YDC-PANEL-1006205,1006205,132,72v (part),72v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q14-FOLDOUT-COMPLEX,XIV,YDC-PANEL-1006228,1006228,155,85r (part) (part of 85-86 foldout),85r,part,True,institutional_quire_profile_and_explicit_side_tokens,,institutionally_explicit,single_sextuple_leaf_confirmed_panel_order_unresolved,
MS408-Q14-FOLDOUT-COMPLEX,XIV,YDC-PANEL-1006229,1006229,156,85r (part) 86v (part) (part of 85-86 foldout),85r;86v,part;part,True,institutional_quire_profile_and_explicit_side_tokens,,institutionally_explicit,single_sextuple_leaf_confirmed_panel_order_unresolved,
MS408-Q14-FOLDOUT-COMPLEX,XIV,YDC-PANEL-1006230,1006230,157,86v (part) (part of 85-86 foldout),86v,part,True,institutional_quire_profile_and_explicit_side_tokens,,institutionally_explicit,single_sextuple_leaf_confirmed_panel_order_unresolved,
MS408-Q14-FOLDOUT-COMPLEX,XIV,YDC-PANEL-1006231,1006231,158,85v and 86r (foldout),85v;86r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,institutionally_explicit,single_sextuple_leaf_confirmed_panel_order_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1006232,1006232,159,87r,87r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1043429,1043429,160,87v,87v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1037112,1037112,161,88r,88r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1006233,1006233,162,88v and 89r,88v;89r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1006234,1006234,163,89v (part),89v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1006235,1006235,164,89v (part) and 90r,89v;90r,part;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q15-FOLDOUT-COMPLEX,XV,YDC-PANEL-1006236,1006236,165,90r,90r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
