sequence_index,institutional_label,folio_id,child_oid,canvas_id,width_px,height_px,image_service_id,image_info_url,image_url,catalog_child_url,folio_status,notes
1,[Front cover],,1006074,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006074,2931,3865,https://collections.library.yale.edu/iiif/2/1006074,https://collections.library.yale.edu/iiif/2/1006074/info.json,https://collections.library.yale.edu/iiif/2/1006074/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006074,unresolved,Institutional label retained verbatim; folio mapping not inferred.
2,[Inside front cover],,1006075,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006075,2812,3797,https://collections.library.yale.edu/iiif/2/1006075,https://collections.library.yale.edu/iiif/2/1006075/info.json,https://collections.library.yale.edu/iiif/2/1006075/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006075,unresolved,Institutional label retained verbatim; folio mapping not inferred.
3,1r,,1006076,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006076,2972,3766,https://collections.library.yale.edu/iiif/2/1006076,https://collections.library.yale.edu/iiif/2/1006076/info.json,https://collections.library.yale.edu/iiif/2/1006076/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006076,unresolved,Institutional label retained verbatim; folio mapping not inferred.
4,1v,,1006077,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006077,2804,3797,https://collections.library.yale.edu/iiif/2/1006077,https://collections.library.yale.edu/iiif/2/1006077/info.json,https://collections.library.yale.edu/iiif/2/1006077/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006077,unresolved,Institutional label retained verbatim; folio mapping not inferred.
5,2r,,1006078,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006078,2691,3770,https://collections.library.yale.edu/iiif/2/1006078,https://collections.library.yale.edu/iiif/2/1006078/info.json,https://collections.library.yale.edu/iiif/2/1006078/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006078,unresolved,Institutional label retained verbatim; folio mapping not inferred.
6,2v,,1006079,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006079,2771,3797,https://collections.library.yale.edu/iiif/2/1006079,https://collections.library.yale.edu/iiif/2/1006079/info.json,https://collections.library.yale.edu/iiif/2/1006079/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006079,unresolved,Institutional label retained verbatim; folio mapping not inferred.
7,3r,,1006080,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006080,2691,3770,https://collections.library.yale.edu/iiif/2/1006080,https://collections.library.yale.edu/iiif/2/1006080/info.json,https://collections.library.yale.edu/iiif/2/1006080/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006080,unresolved,Institutional label retained verbatim; folio mapping not inferred.
8,3v,,1006081,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006081,2762,3797,https://collections.library.yale.edu/iiif/2/1006081,https://collections.library.yale.edu/iiif/2/1006081/info.json,https://collections.library.yale.edu/iiif/2/1006081/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006081,unresolved,Institutional label retained verbatim; folio mapping not inferred.
9,4r,,1006082,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006082,2682,3740,https://collections.library.yale.edu/iiif/2/1006082,https://collections.library.yale.edu/iiif/2/1006082/info.json,https://collections.library.yale.edu/iiif/2/1006082/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006082,unresolved,Institutional label retained verbatim; folio mapping not inferred.
10,4v,,1006083,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006083,2768,3797,https://collections.library.yale.edu/iiif/2/1006083,https://collections.library.yale.edu/iiif/2/1006083/info.json,https://collections.library.yale.edu/iiif/2/1006083/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006083,unresolved,Institutional label retained verbatim; folio mapping not inferred.
11,5r,,1006084,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006084,2636,3723,https://collections.library.yale.edu/iiif/2/1006084,https://collections.library.yale.edu/iiif/2/1006084/info.json,https://collections.library.yale.edu/iiif/2/1006084/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006084,unresolved,Institutional label retained verbatim; folio mapping not inferred.
12,5v,,1006085,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006085,2759,3797,https://collections.library.yale.edu/iiif/2/1006085,https://collections.library.yale.edu/iiif/2/1006085/info.json,https://collections.library.yale.edu/iiif/2/1006085/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006085,unresolved,Institutional label retained verbatim; folio mapping not inferred.
13,6r,,1006086,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006086,2662,3727,https://collections.library.yale.edu/iiif/2/1006086,https://collections.library.yale.edu/iiif/2/1006086/info.json,https://collections.library.yale.edu/iiif/2/1006086/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006086,unresolved,Institutional label retained verbatim; folio mapping not inferred.
14,6v,,1006087,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006087,2753,3797,https://collections.library.yale.edu/iiif/2/1006087,https://collections.library.yale.edu/iiif/2/1006087/info.json,https://collections.library.yale.edu/iiif/2/1006087/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006087,unresolved,Institutional label retained verbatim; folio mapping not inferred.
15,7r,,1006088,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006088,2656,3721,https://collections.library.yale.edu/iiif/2/1006088,https://collections.library.yale.edu/iiif/2/1006088/info.json,https://collections.library.yale.edu/iiif/2/1006088/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006088,unresolved,Institutional label retained verbatim; folio mapping not inferred.
16,7v,,1006089,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006089,2806,3797,https://collections.library.yale.edu/iiif/2/1006089,https://collections.library.yale.edu/iiif/2/1006089/info.json,https://collections.library.yale.edu/iiif/2/1006089/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006089,unresolved,Institutional label retained verbatim; folio mapping not inferred.
17,8r,,1006090,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006090,2660,3719,https://collections.library.yale.edu/iiif/2/1006090,https://collections.library.yale.edu/iiif/2/1006090/info.json,https://collections.library.yale.edu/iiif/2/1006090/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006090,unresolved,Institutional label retained verbatim; folio mapping not inferred.
18,8v,,1006091,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006091,2791,3797,https://collections.library.yale.edu/iiif/2/1006091,https://collections.library.yale.edu/iiif/2/1006091/info.json,https://collections.library.yale.edu/iiif/2/1006091/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006091,unresolved,Institutional label retained verbatim; folio mapping not inferred.
19,9r,,1006092,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006092,2691,3737,https://collections.library.yale.edu/iiif/2/1006092,https://collections.library.yale.edu/iiif/2/1006092/info.json,https://collections.library.yale.edu/iiif/2/1006092/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006092,unresolved,Institutional label retained verbatim; folio mapping not inferred.
20,9v,,1006093,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006093,2812,3797,https://collections.library.yale.edu/iiif/2/1006093,https://collections.library.yale.edu/iiif/2/1006093/info.json,https://collections.library.yale.edu/iiif/2/1006093/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006093,unresolved,Institutional label retained verbatim; folio mapping not inferred.
21,10r,,1006094,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006094,2691,3739,https://collections.library.yale.edu/iiif/2/1006094,https://collections.library.yale.edu/iiif/2/1006094/info.json,https://collections.library.yale.edu/iiif/2/1006094/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006094,unresolved,Institutional label retained verbatim; folio mapping not inferred.
22,10v,,1006095,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006095,2839,3797,https://collections.library.yale.edu/iiif/2/1006095,https://collections.library.yale.edu/iiif/2/1006095/info.json,https://collections.library.yale.edu/iiif/2/1006095/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006095,unresolved,Institutional label retained verbatim; folio mapping not inferred.
23,11r,,1006096,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006096,2672,3744,https://collections.library.yale.edu/iiif/2/1006096,https://collections.library.yale.edu/iiif/2/1006096/info.json,https://collections.library.yale.edu/iiif/2/1006096/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006096,unresolved,Institutional label retained verbatim; folio mapping not inferred.
